"caption","commentsCount","dimensionsHeight","dimensionsWidth","displayUrl","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","id","isCommentsDisabled","isPinned","likesCount","ownerFullName","ownerId","ownerUsername","productType","shortCode","timestamp","type","url","videoUrl"
"O Design mudou mesmo a minha vida! E vocês são parte fundamental disso. Muito obrigado de verdade por tornar isso real. 🙏
‌

Formato de vídeo inspirado no querido @cunhalucass 

—
#enviesados #design #uxdesign #uidesign #figma #adobe #cotidiano #historia","496","1331","750","https://scontent-mia5-1.cdninstagram.com/v/t51.71878-15/503061900_1152798166620253_4547266200611374263_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gHD4hZCRZiFGIUD27oP5_MGQUnSXKUNnqm4VxO_ee1v8aYpCqRp-n6cXzks2NnoXes&_nc_ohc=6E93xDmjtVYQ7kNvwHMnPcs&_nc_gid=LObgXDErbn3ziBe5soh82A&edm=APU89FABAAAA&ccb=7-5&oh=00_AQCFsHnjlEfQ2WC-8rwc8oIkrlBMaHbMnwiQDTAbQijKvw&oe=6A59C802&_nc_sid=bc0c2c","enviesados","design","uxdesign","uidesign","figma","adobe","cotidiano","historia","3265854676565737340","false","true","56309","Rian Dutra | Design From Human","13239294253","designfromhuman","clips","C1SpYZsv798","2023-12-25T21:39:26.000Z","Video","https://www.instagram.com/p/C1SpYZsv798/","https://scontent-mia5-1.cdninstagram.com/o1/v/t2/f2/m82/AQOy7-U3GPXHNwt6Fi7MRLJa-LbUAYKpjLq-fxKCP0JLrtFsYle_WwzrISRJjc0S2K4UTVonX8i90N4KEDBnVNARLw7jq4Ah0lYmjgo.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_ohc=fEIQHFGIr3wQ7kNvwFrbZUo&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6ODE4OTc4Njg2NjY4ODcxLCJhc3NldF9hZ2VfZGF5cyI6OTI5LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6NTksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=745e428be9199df1&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8xQTQyMEQ5OURFRTBBRjQ0ODg3RERCQ0I3QjkzNjRCMF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSS1ic2hpR0pWXy1UZEVBQUN1M09hWk9mcklxYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmjsGU2-q29AIVAigCQzMsF0BN_O2RaHKwGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=LObgXDErbn3ziBe5soh82A&_nc_ss=7a22e&_nc_zt=28&oh=00_AQAVm0xMz27ZzBhm_zYtxU6IDW2Uvnkln39ZC8ySZxxC2g&oe=6A55C402"
"Criei um app pra economizar tempo e dinheiro no supermercado usando design comportamental e inteligência artificial.

Neste vídeo, eu mostro como supermercados são projetados pra te fazer andar mais, ver mais coisas e comprar por impulso. Quanto mais você circula sem um plano, mais o ambiente decide por você.

Então eu usei a Runable pra criar uma ferramenta simples. Você fala o que precisa comprar e ela organiza tudo por seções reais do mercado, já na ordem ideal. Isso reduz a carga mental e corta as distrações no caminho.

Quando você sabe exatamente o que fazer, você compra menos por impulso e sai mais rápido.

No fim, não é sobre força de vontade. É sobre reduzir a influência do ambiente.

#RunableAI #designcomportamental","139","1136","640","https://scontent-mia5-2.cdninstagram.com/v/t51.71878-15/736248351_1287113746827324_5282007198154970948_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gHD4hZCRZiFGIUD27oP5_MGQUnSXKUNnqm4VxO_ee1v8aYpCqRp-n6cXzks2NnoXes&_nc_ohc=_vxgbTRXpPoQ7kNvwFf_aCY&_nc_gid=LObgXDErbn3ziBe5soh82A&edm=APU89FABAAAA&ccb=7-5&oh=00_AQCLibnJVDStZztcvtauW4g0qzOptS4abiehzuIgYtemPw&oe=6A59E424&_nc_sid=bc0c2c","RunableAI","designcomportamental",,,,,,,"3938463299548883110","false",,"2424","Rian Dutra | Design From Human","13239294253","designfromhuman","clips","DaoO4EKhiim","2026-07-10T22:10:06.000Z","Video","https://www.instagram.com/p/DaoO4EKhiim/","https://scontent-mia3-1.cdninstagram.com/o1/v/t2/f2/m86/AQPBmAZR_NpRN9CYzWqwsPlNWtSceTPw1WmVgmROo1LI3hzJPMO8er7LIQRbJqB82eVGPFnWHFWjXAdNTZ9wwPRkm3UOLWHQm1FWVZI.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_ohc=ZuVQONlTKRMQ7kNvwFtkC3C&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6Mjc1OTA3Nzg3MDM5MTY3NzAsImFzc2V0X2FnZV9kYXlzIjoxLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6ODksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=d9e31af012ef7d5c&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FNDQ2QjY3MUM3NDZCOTg5QTZCMjgxNDRFODVBMzZBOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0YyNDM4ODI1Q0FFQTZFQjAzNkY3RTNEMEE1QkQxNzgxX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbEu8m72OqCYhUCKAJDMywXQFZxBiTdLxsYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=LObgXDErbn3ziBe5soh82A&_nc_zt=28&_nc_ss=7a22e&oh=00_AQBmA5p-1XNfFWA0YRmD9ZF3zTyn3JDefbK3Wua5awsWvQ&oe=6A55EED0"
"QUE CURIOSO: por que uma loja recebe mais clientes que a outra no mesmo shopping?

Neste vídeo, eu analisei isso com base em design comportamental e psicologia do consumidor, observando o comportamento real das clientes.

Usei o Napkin pra transformar minhas anotações em dados claros. E o resultado foi curioso: a loja com entrada mais “fechada” teve 17% de entrada, enquanto a mais aberta teve só 5%.

Quando você não vê tudo de imediato, a curiosidade aumenta. Existe um espaço entre o que é mostrado e o que é imaginado. E é aí que o desejo nasce.

Se você já vê tudo de fora, não precisa entrar. A mente sente que já consumiu a loja.

Então, não é uma questão de estar mais visível, mas o quanto você esconde... eita.

App NAPKIN: aproveite créditos ILIMITADOS (somente até 14/07/26)

#NapkinAI #SlidesbyNapkin #publi","1052","1136","640","https://scontent-mia5-1.cdninstagram.com/v/t51.71878-15/729616239_863842583111905_1107291042933991695_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gHD4hZCRZiFGIUD27oP5_MGQUnSXKUNnqm4VxO_ee1v8aYpCqRp-n6cXzks2NnoXes&_nc_ohc=tBF-_4bTjm4Q7kNvwGz7jhs&_nc_gid=LObgXDErbn3ziBe5soh82A&edm=APU89FABAAAA&ccb=7-5&oh=00_AQACFCecctpXtU0lzfk0nuq8w3bchUn8j3Zln8vh-jewiQ&oe=6A59C3E0&_nc_sid=bc0c2c","NapkinAI","SlidesbyNapkin","publi",,,,,,"3937008563683556599","false",,"24329","Rian Dutra | Design From Human","13239294253","designfromhuman","clips","DajEG30B3z3","2026-07-08T22:00:10.000Z","Video","https://www.instagram.com/p/DajEG30B3z3/","https://scontent-mia5-1.cdninstagram.com/o1/v/t2/f2/m86/AQMyh-qsUhUrPGYXFmxqhqq8eOz6jwHweSiJcUDhTe6vTnJ8p_j_vfnpiAfLVjkvImNjLHeqWgkP0O3aF8a2gNDwUWn_Q0Jumxk-kgY.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_ohc=XwxsxCwU4poQ7kNvwE15mq9&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTM2MDI0ODExNjIzOTkyMiwiYXNzZXRfYWdlX2RheXMiOjMsInZpX3VzZWNhc2VfaWQiOjEwMDk5LCJkdXJhdGlvbl9zIjo4OSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=484fe43205cfc085&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FNTQ4QjRDNUY2NDE1RTcxN0Y4MTkxNTg1OTg4MDRCMl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzBDNDIzRjJGNkY5QjQ0MDg2M0JBOEI4NTVGNDA1RDlFX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbk-LKc7sjqBBUCKAJDMywXQFZCn752yLQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=LObgXDErbn3ziBe5soh82A&_nc_ss=7a22e&_nc_zt=28&oh=00_AQCaSXxCGu2I5qzKRZWq_yc7UP2NKLEu4lB85bx0LzE-XA&oe=6A55C2BE"
"É incrível, mas não se engane…
…o palco é um dia extraordinário no meio de milhares de dias ordinários.

Nesse palco tem noites sem sono, dias e mais dias de lágrimas, inseguranças, desconforto, resiliência e muitas orações.

É lindo demais viver isso, de verdade, ainda estou meio tonta com tudo que aconteceu, foi incrível.

Mas antes de comparar esse palco com os seus bastidores, lembre-se: os meus bastidores são muito parecidos com o seu, a diferença é que talvez eu esteja a mais tempo no processo. 

Não compare cenas extraordinárias com capítulos ordinários. Isso é injusto com vc mesmo.

Quando eu olho pra essa foto eu não vejo “sucesso”, eu vejo resiliência.

Quando eu olho pra essa foto eu não sinto que “venci na vida”, eu sinto alegria de não ter desistido.

Essa foto é prova de que vale a pena continuar lançando sementes mesmo quando não se sabe quando e qual vai germinar.

Essa foto fala sobre a promessa de semear com lágrimas e colher com cânticos de alegria.

Essa foto é parte da colheita extraordinária de centenas de sementes lançadas em dias ordinários.

Continue no processo, continue acreditando, vai mais um pouquinho, continue fazendo o que precisa ser feito…

E quando vc entender que são os dias ordinários que constroem o extraordinário na sua vida, tudo ficará mais leve. 💜

✨ Vai valer a pena! ✨","41","720","1080","https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/715079341_18090101753605177_4559836339359739941_n.jpg?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gFk4u-3NliPMxMbtaD8YzXl8yixpNbel3Le1fdS93cqCqmqOCZsfsGrNQefe_AOyYU&_nc_ohc=UDf8iSYwRtQQ7kNvwHKaZDD&_nc_gid=rChT6m0sG81kDyBilBiKhA&edm=APU89FABAAAA&ccb=7-5&oh=00_AQBj_7Uorsj102fzRowe_OHgVntYvjY2c8bFPr7Ypkj-cA&oe=6A59D827&_nc_sid=bc0c2c",,,,,,,,,"3911393178120870107","false","true","463","Camila Barah | Estratégia e Conteúdo","48142093176","camilabarah",,"DZID18-x9jb","2026-06-03T13:48:12.000Z","Image","https://www.instagram.com/p/DZID18-x9jb/",
"Como posso te ajudar a colocar estratégia no seu conteúdo?","50","1350","1080","https://scontent-mia5-1.cdninstagram.com/v/t51.82787-15/588397424_18068723153605177_7847928508503516799_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gFk4u-3NliPMxMbtaD8YzXl8yixpNbel3Le1fdS93cqCqmqOCZsfsGrNQefe_AOyYU&_nc_ohc=qNmiQg3r0rUQ7kNvwEr58Yr&_nc_gid=rChT6m0sG81kDyBilBiKhA&edm=APU89FABAAAA&ccb=7-5&oh=00_AQA2r49-nVM0iW6-LTBPJiDc5GTQtB8pwJZz4d31tAAcew&oe=6A59B5FC&_nc_sid=bc0c2c",,,,,,,,,"3779129900293457573","false","true","387","Camila Barah | Estratégia e Conteúdo","48142093176","camilabarah",,"DRyKp8jDIal","2025-12-03T02:03:32.000Z","Sidecar","https://www.instagram.com/p/DRyKp8jDIal/",
"Se vc quer ser estratégico de uma vez por todas e parar de mendigar cliente, corre no link da minha bio e garanta seu ingresso no Workshop Estratégia Raiz 🔥

———————-

Mega inspirado no @juliorocha_ 🔥🙏🏼
Assistam a versão original lá!","148","1136","640","https://scontent-mia3-2.cdninstagram.com/v/t51.71878-15/561919607_837563505267519_4461937304023149334_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gFk4u-3NliPMxMbtaD8YzXl8yixpNbel3Le1fdS93cqCqmqOCZsfsGrNQefe_AOyYU&_nc_ohc=lpMEscDLF60Q7kNvwEFSzeV&_nc_gid=rChT6m0sG81kDyBilBiKhA&edm=APU89FABAAAA&ccb=7-5&oh=00_AQDi8_sQdztFrql5r_XhNi8rNc93lIOxaT8iEurg3-cG1Q&oe=6A59C9A9&_nc_sid=bc0c2c",,,,,,,,,"3737682311153556433","false","true","981","Camila Barah | Estratégia e Conteúdo","48142093176","camilabarah","clips","DPe6kJHkZvR","2025-10-06T21:35:54.000Z","Video","https://www.instagram.com/p/DPe6kJHkZvR/","https://scontent-mia3-3.cdninstagram.com/o1/v/t2/f2/m86/AQOqbspJTXK5xmGehwi1zXn5p-aDNt0A5ZyZqny2neeQdpWOv5NWUMqpKxMiaxoQV6azqOfwD4ZxaeDEbcifKOSPgh6Me1B45RZdui4.mp4?_nc_cat=108&_nc_sid=5e9851&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_ohc=OtDJwK1hVPcQ7kNvwGiGMdM&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTg1NjA3MDAyNTMxODczNiwiYXNzZXRfYWdlX2RheXMiOjI3OCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjEwLCJ3YXRjaF90aW1lX3MiOjYxNTcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=a3c6292d589829d3&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9EODQ2MjE2QjA3MDRCOThFMDlENkI4MjMwMDZEMDdCQV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYR2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yNTY4NTk1MDk2ODMyMjY3XzIzNDQ4NDg3ODcyODczNDc2OTYubXA0FQICyAESACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJqDFzKi_hcwGFQIoAkMzLBdAJe6XjU_fOxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1_gdl5p0BAA&_nc_gid=rChT6m0sG81kDyBilBiKhA&_nc_ss=7a22e&_nc_zt=28&oh=00_AQBT3U_0BcqP2QKB3hI8bVBViQemcIrvjdWSBmHABFjWcw&oe=6A55D0B5"
